@relation intel

@attribute id numeric
@attribute scenario numeric
@attribute who {a,b,c,d,e,f,g}
@attribute what {a,b,c,d,e,f,g,h,i,k,l,n,o,p,q,s,t,u,v,w,x,y,z,zb}
@attribute persistence {once,continuous}
@attribute reason {a,b,c,d,e,f}
@attribute where {a,b,c,d}
@attribute notify {yes,no}
@attribute nalways {once,always,blank}
@attribute notify_combined {notify_me_always,notify_me_once,do_not_notify_me}
@attribute five.one {notify_me_always,other_two}
@attribute allow {yes,no}
@attribute aalways {always,once}
@attribute allow_combined {yesalways,yesonce,noalways,noonce}
@attribute seven.one {yesalways,others}
@attribute score_allow numeric
@attribute comfort numeric
@attribute risk numeric
@attribute approp numeric
@attribute cluster {cluster0,cluster1,cluster2,cluster3,cluster4}

@data
11,18460,g,l,once,d,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
11,18470,c,v,continuous,a,d,yes,always,notify_me_always,notify_me_always,yes,always,yesalways,yesalways,3,4,4,4,cluster4
11,18480,g,z,continuous,e,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,3,cluster4
12,26470,c,x,continuous,c,d,no,blank,do_not_notify_me,other_two,yes,once,yesonce,others,2,4,6,5,cluster3
12,26480,a,h,once,f,b,no,blank,do_not_notify_me,other_two,yes,once,yesonce,others,2,5,6,5,cluster3
12,26490,g,zb,continuous,f,d,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,3,3,2,cluster3
12,26500,e,z,continuous,e,b,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,3,3,2,cluster3
12,26510,d,y,once,d,a,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,6,6,6,cluster3
12,26520,b,i,continuous,a,b,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,5,6,5,cluster3
12,26530,a,v,continuous,a,b,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,3,3,3,cluster3
12,26540,f,p,once,f,c,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,6,6,6,cluster3
12,26550,f,a,continuous,e,b,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,5,3,3,cluster3
12,26560,c,d,once,b,c,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,4,3,2,cluster3
12,26570,b,w,once,b,c,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,3,3,2,cluster3
12,26580,d,k,continuous,c,d,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,5,2,2,cluster3
12,26590,e,l,once,d,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,1,1,cluster3
12,26600,g,n,once,f,c,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,5,3,3,cluster3
13,23950,d,g,once,c,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,1,cluster1
13,23960,g,x,once,f,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,23970,a,o,once,a,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,23980,g,d,continuous,f,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,23990,c,f,continuous,b,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,24000,e,v,once,e,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,24010,b,e,once,a,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,24020,c,t,once,c,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,24030,b,s,continuous,b,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,24040,e,h,continuous,d,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,24050,f,w,continuous,f,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,24060,d,u,continuous,d,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,24070,f,i,once,e,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
13,24080,a,d,continuous,f,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
14,20730,c,y,once,b,b,no,blank,do_not_notify_me,other_two,yes,once,yesonce,others,2,6,3,3,cluster1
14,20740,e,a,continuous,c,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,7,2,1,cluster1
14,20750,b,x,continuous,a,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
14,20760,g,a,continuous,e,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
14,20770,f,n,once,d,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
14,20780,e,p,once,d,d,yes,always,notify_me_always,notify_me_always,no,once,noonce,others,1,1,1,1,cluster1
14,20790,f,zb,continuous,e,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,4,4,cluster1
14,20800,c,k,continuous,a,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
14,20810,b,d,once,f,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
14,20820,a,i,continuous,f,d,yes,always,notify_me_always,notify_me_always,no,once,noonce,others,1,1,1,1,cluster1
14,20830,g,o,once,f,d,yes,always,notify_me_always,notify_me_always,no,once,noonce,others,1,1,1,1,cluster1
14,20840,a,w,once,f,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster1
14,20850,d,l,once,b,b,yes,always,notify_me_always,notify_me_always,no,once,noonce,others,1,1,1,1,cluster1
14,20860,d,z,continuous,c,c,yes,always,notify_me_always,notify_me_always,no,once,noonce,others,1,1,1,1,cluster1
16,18070,a,o,continuous,f,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,7,2,1,cluster3
16,18080,f,w,once,d,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,2,cluster3
16,18090,b,s,once,f,b,yes,always,notify_me_always,notify_me_always,yes,once,yesonce,others,2,3,5,5,cluster3
16,18100,d,u,once,b,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,5,cluster3
16,18110,g,x,continuous,e,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,1,cluster3
16,18120,c,t,continuous,a,b,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,5,5,5,cluster3
16,18130,a,d,once,e,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,2,cluster3
16,18140,e,v,continuous,c,d,yes,always,notify_me_always,notify_me_always,yes,once,yesonce,others,2,6,5,5,cluster3
16,18150,b,e,continuous,f,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,1,cluster3
16,18160,e,h,once,b,c,yes,always,notify_me_always,notify_me_always,yes,once,yesonce,others,2,3,3,5,cluster3
16,18170,g,d,once,d,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,2,1,cluster3
16,18180,f,i,continuous,c,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,2,cluster3
16,18190,d,g,continuous,a,b,yes,always,notify_me_always,notify_me_always,yes,once,yesonce,others,2,5,5,5,cluster3
16,18200,c,f,once,f,b,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,5,3,5,cluster3
17,8130,a,c,continuous,c,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
17,8140,b,d,once,d,b,yes,always,notify_me_always,notify_me_always,yes,always,yesalways,yesalways,3,4,6,4,cluster4
17,8150,d,f,once,f,d,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,7,7,7,cluster4
17,8160,a,q,once,d,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
17,8170,c,s,once,f,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,3,1,cluster4
17,8180,e,g,continuous,f,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,1,cluster4
17,8190,e,u,once,a,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
17,8200,c,e,continuous,e,c,yes,always,notify_me_always,notify_me_always,no,once,noonce,others,1,1,4,3,cluster4
17,8210,f,v,continuous,b,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,2,1,cluster4
17,8220,b,o,continuous,e,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,3,3,cluster4
17,8230,g,w,once,c,c,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
17,8240,f,h,once,a,a,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,3,2,cluster4
17,8250,g,i,continuous,b,b,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,1,1,1,cluster4
17,8260,d,t,continuous,f,a,yes,always,notify_me_always,notify_me_always,yes,always,yesalways,yesalways,3,4,7,7,cluster4
18,3930,b,p,continuous,d,b,no,blank,do_not_notify_me,other_two,no,once,noonce,others,1,4,4,3,cluster0
18,3940,c,q,once,e,c,yes,always,notify_me_always,notify_me_always,yes,always,yesalways,yesalways,3,7,7,6,cluster0
18,3950,f,f,once,f,a,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,7,7,6,cluster0
18,3960,a,a,continuous,b,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,4,3,3,cluster0
18,3970,f,t,continuous,a,a,yes,once,notify_me_once,other_two,yes,once,yesonce,others,2,3,3,4,cluster0
18,3980,c,c,continuous,d,b,yes,once,notify_me_once,other_two,yes,always,yesalways,yesalways,3,4,7,7,cluster0
18,3990,g,g,continuous,a,a,no,blank,do_not_notify_me,other_two,yes,always,yesalways,yesalways,3,4,5,4,cluster0
18,4000,b,b,once,c,a,yes,once,notify_me_once,other_two,yes,always,yesalways,yesalways,3,4,6,6,cluster0
18,4010,a,o,once,c,a,yes,always,notify_me_always,notify_me_always,yes,always,yesalways,yesalways,3,5,5,5,cluster0
18,4020,g,u,once,b,b,no,blank,do_not_notify_me,other_two,no,always,noalways,others,0,3,4,3,cluster0
18,4030,e,s,once,f,a,yes,once,notify_me_once,other_two,yes,always,yesalways,yesalways,3,5,7,7,cluster0
18,4040,d,d,once,e,c,yes,once,notify_me_once,other_two,yes,always,yesalways,yesalways,3,7,7,7,cluster0
18,4050,e,e,continuous,f,d,no,blank,do_not_notify_me,other_two,no,once,noonce,others,1,4,4,4,cluster0
18,4060,d,o,continuous,f,d,yes,once,notify_me_once,other_two,yes,always,yesalways,yesalways,3,4,4,4,cluster0
19,18490,d,x,once,b,b,yes,always,notify_me_always,notify_me_always,yes,always,yesalways,yesalways,3,6,5,6,cluster2
19,18500,a,u,continuous,f,d,yes,always,notify_me_always,notify_me_always,no,always,noalways,others,0,2,3,2,cluster2
